Product,ProductCode,AssociatedService,Cost
Neptunes Liquid Fertilzer,"NH 2-0-2, NH 2-3-1",FZ,29916.00
Spring Seed,"GS - RYE, GS - Elite",MS,64618.10
Granular fertilizer,"2-0-20, 7-0-7, 10-0-2",FZ,45107.20
Weed Controls in Fert Tanks,WS,WM,51190.00
Grub Control,GG,GM,31620.85
TWC,"SLIP, TEN-G",TWC,4500.00
Limestone,Solu-Cal,LAG,7500.00
Non-Selective Weed Control,AX,DWM,4325.40
