DoneDateFormatted,Precipitation,AllRev,TickRev,TurfRev,DayOfWeekNum,DayOfWeekName
2021-06-07,0.0,27823.0,16802.0,11021.0,0,Monday
2021-06-08,0.0,26473.0,17016.0,9056.0,1,Tuesday
2021-06-09,0.12,30612.0,21149.0,9308.0,2,Wednesday
2021-06-10,0.0,28136.99999999998,20115.0,7928.000000000001,3,Thursday
2021-06-11,0.0,28845.4,18825.4,10020.0,4,Friday
2021-06-12,0.67,1100.0,1100.0,0.0,5,Saturday
2021-06-13,0.0,0.0,0.0,0.0,6,Sunday
2021-06-14,0.0,5029.0,3429.0,1600.0,0,Monday
2021-06-15,0.56,29049.0,17186.0,11863.0,1,Tuesday
2021-06-16,0.09,31121.0,21345.0,9612.0,2,Wednesday
2021-06-17,0.0,31878.0,21346.0,10285.0,3,Thursday
2021-06-18,0.0,34213.5,20872.5,13131.0,4,Friday
2021-06-19,0.0,339.0,339.0,0.0,5,Saturday
2021-06-20,0.0,0.0,0.0,0.0,6,Sunday
2021-06-21,0.0,30792.0,20606.0,10032.0,0,Monday
2021-06-22,0.0,26761.0,17038.0,9591.0,1,Tuesday
2021-06-23,1.67,33848.5,21541.0,12177.5,2,Wednesday
2021-06-24,0.0,31831.0,19517.0,11970.0,3,Thursday
2021-06-25,0.08,30104.0,17346.0,12539.0,4,Friday
2021-06-26,0.0,1059.0,1059.0,0.0,5,Saturday
2021-06-27,0.0,0.0,0.0,0.0,6,Sunday
2021-06-28,0.0,33814.5,19915.0,13454.5,0,Monday
2021-06-29,0.0,34408.0,20647.0,13694.0,1,Tuesday
2021-06-30,0.48,31863.3,19823.3,11824.0,2,Wednesday
2021-07-01,0.56,22569.4,12838.4,9651.0,3,Thursday
2021-07-02,3.57,0.0,0.0,0.0,4,Friday
2021-07-03,0.24,0.0,0.0,0.0,5,Saturday
2021-07-04,2.06,0.0,0.0,0.0,6,Sunday
2021-07-05,0.06,2982.0,2982.0,0.0,0,Monday
2021-07-06,0.07,28593.5,22344.0,6249.5,1,Tuesday
2021-07-07,0.2,31033.0,22089.0,8944.0,2,Wednesday
2021-07-08,0.69,31915.5,22165.5,8360.0,3,Thursday
2021-07-09,0.21,0.0,0.0,0.0,4,Friday
2021-07-10,2.93,8521.0,4973.0,3085.0,5,Saturday
2021-07-11,0.0,0.0,0.0,0.0,6,Sunday
2021-07-12,0.72,12758.0,9772.0,2723.0,0,Monday
2021-07-13,0.65,32751.5,23712.0,7213.5,1,Tuesday
2021-07-14,0.01,32198.0,24740.0,5722.0,2,Wednesday
2021-07-15,0.0,33531.0,26328.0,5865.0,3,Thursday
2021-07-16,0.0,32381.0,24481.0,5895.0,4,Friday
2021-07-17,0.25,2886.0,2886.0,0.0,5,Saturday
2021-07-18,0.39,0.0,0.0,0.0,6,Sunday
2021-07-19,0.18,33119.00000000001,22351.0,9256.0,0,Monday
2021-07-20,0.04,35149.0,25115.0,9080.0,1,Tuesday
2021-07-21,0.04,37297.4,22503.4,13229.0,2,Wednesday
2021-07-22,0.0,33228.0,20276.0,11337.0,3,Thursday
2021-07-23,0.01,28304.8,18141.8,9211.0,4,Friday
2021-07-24,0.0,1952.0,1952.0,0.0,5,Saturday
2021-07-25,0.02,0.0,0.0,0.0,6,Sunday
2021-07-26,0.21,29552.0,20666.0,7810.0,0,Monday
2021-07-27,0.0,28755.0,17682.0,9766.0,1,Tuesday
2021-07-28,0.58,26658.0,17639.0,7492.0,2,Wednesday
2021-07-29,0.03,27012.0,18741.0,7340.0,3,Thursday
2021-07-30,0.05,27675.5,18443.5,7340.0,4,Friday
2021-07-31,0.0,771.0,771.0,0.0,5,Saturday
2021-08-01,0.0,0.0,0.0,0.0,6,Sunday
2021-08-02,0.0,31381.0,18362.0,11492.0,0,Monday
2021-08-03,0.0,28965.0,17777.0,10115.5,1,Tuesday
2021-08-04,0.0,27894.0,18132.0,9762.0,2,Wednesday
2021-08-05,0.98,0.0,0.0,0.0,3,Thursday
2021-08-06,0.49,26993.0,20223.0,6622.0,4,Friday
2021-08-07,0.0,1334.0,1334.0,0.0,5,Saturday
2021-08-08,0.0,383.0,383.0,0.0,6,Sunday
2021-08-09,0.0,25884.0,18383.0,7006.0,0,Monday
2021-08-10,0.41,28613.0,19583.0,9030.0,1,Tuesday
2021-08-11,0.0,33149.4,24077.4,9072.0,2,Wednesday
2021-08-12,0.0,28061.0,20236.0,7825.0,3,Thursday
2021-08-13,0.0,25213.0,19075.0,5813.0,4,Friday
2021-08-14,0.0,395.0,395.0,0.0,5,Saturday
2021-08-15,0.0,0.0,0.0,0.0,6,Sunday
2021-08-16,0.0,25468.0,21264.0,4204.0,0,Monday
2021-08-17,0.0,23151.0,22203.0,948.0,1,Tuesday
2021-08-18,0.0,25119.0,22414.0,2705.0,2,Wednesday
2021-08-19,0.08,2208.0,1095.0,1113.0,3,Thursday
2021-08-20,0.91,23096.8,20959.8,2137.0,4,Friday
2021-08-21,0.0,2118.0,2118.0,0.0,5,Saturday
2021-08-22,0.23,0.0,0.0,0.0,6,Sunday
2021-08-23,0.47,15781.0,13699.0,2082.0,0,Monday
2021-08-24,1.14,28706.0,18931.0,9775.0,1,Tuesday
2021-08-25,0.0,25966.0,18322.0,7644.0,2,Wednesday
2021-08-26,0.0,29951.0,18229.0,11722.0,3,Thursday
2021-08-27,0.0,34859.0,17318.0,17541.0,4,Friday
2021-08-28,0.0,13549.5,90.0,13184.5,5,Saturday
2021-08-29,0.12,0.0,0.0,0.0,6,Sunday
2021-08-30,0.0,27108.0,12662.0,14446.0,0,Monday
2021-08-31,0.0,34817.0,17781.0,16915.0,1,Tuesday
2021-09-01,0.0,12812.0,3925.0,8887.0,2,Wednesday
2021-09-02,4.75,22263.000000000007,9815.0,12448.000000000004,3,Thursday
2021-09-03,0.0,31082.0,19934.0,10898.0,4,Friday
2021-09-04,0.0,11290.0,3925.0,7365.0,5,Saturday
2021-09-05,0.0,0.0,0.0,0.0,6,Sunday
2021-09-06,0.1,0.0,0.0,0.0,0,Monday
2021-09-07,0.0,38711.4,15677.4,23034.0,1,Tuesday
2021-09-08,0.0,31234.0,16408.0,14826.0,2,Wednesday
2021-09-09,0.23,0.0,0.0,0.0,3,Thursday
2021-09-10,0.92,31539.0,19121.0,12418.0,4,Friday
2021-09-11,0.0,14295.5,3899.0,10396.5,5,Saturday
2021-09-12,0.01,0.0,0.0,0.0,6,Sunday
2021-09-13,0.08,29256.0,16051.0,13130.0,0,Monday
2021-09-14,0.0,22902.0,13608.0,9294.0,1,Tuesday
2021-09-15,0.0,28491.0,16508.0,11983.0,2,Wednesday
2021-09-16,0.29,22668.0,12266.0,10402.0,3,Thursday
2021-09-17,0.02,37315.0,16488.0,20827.0,4,Friday
2021-09-18,0.02,13177.0,2189.0,10988.0,5,Saturday
2021-09-19,0.19,0.0,0.0,0.0,6,Sunday
2021-09-20,0.0,32810.0,17674.0,15136.0,0,Monday
2021-09-21,0.0,27944.0,12998.0,14946.0,1,Tuesday
2021-09-22,0.0,22714.0,14613.0,7694.0,2,Wednesday
2021-09-23,0.02,31590.0,12091.0,18589.0,3,Thursday
2021-09-24,0.0,6516.5,2148.5,4368.0,4,Friday
2021-09-25,0.11,10464.0,1244.0,9220.0,5,Saturday
2021-09-26,0.45,0.0,0.0,0.0,6,Sunday
2021-09-27,0.0,26156.0,14280.0,11876.0,0,Monday
2021-09-28,0.0,4883.0,1729.0,3154.0,1,Tuesday
2021-09-29,0.8,26365.0,15596.0,10769.0,2,Wednesday
2021-09-30,0.0,33743.0,18219.0,15524.0,3,Thursday
2021-10-01,0.0,32681.0,16029.0,16497.0,4,Friday
2021-10-02,0.0,4579.0,1818.0,2761.0,5,Saturday
2021-10-03,0.0,0.0,0.0,0.0,6,Sunday
2021-10-04,0.75,0.0,0.0,0.0,0,Monday
2021-10-05,1.05,21332.0,20557.0,775.0,1,Tuesday
2021-10-06,0.0,32169.4,14929.4,17240.0,2,Wednesday
2021-10-07,0.0,24003.0,13835.0,9588.0,3,Thursday
2021-10-08,0.0,30265.500000000004,16803.5,13051.999999999998,4,Friday
2021-10-09,0.0,7192.0,1161.0,6031.0,5,Saturday
2021-10-10,0.0,0.0,0.0,0.0,6,Sunday
2021-10-11,0.0,25624.0,15874.0,9750.0,0,Monday
