CompanyId,BranchNumberAndBranchName,ProgramCode,CustomerCountOld,CancelCountOld,CancelCountNew,CancelDollarOld,CancelDollarNew,CancelPercentageOld,CancelPercentageNew,NewCustomersCount,NewCustomersPrice,CurrentCustomerCount,GrowthPercentage,NetCustomerGrowth,MainGroupDescription,SubGroupDescription,OldActCount,FormattedCancelPercentageOld,FormattedCancelPercentageNew,FormattedGrowthPercentage
0,0 , ,248,26,8,16278.0000,3914.0000,10.483870967741935483870967740,4.7904191616766467065868263500,167,94627.5000,381,53.629032258064516129032258060,133,Program - TD - Organic Top Dressing,,222,10.48%,4.79%,53.63%
0,0 , ,1,0,0,0.0000,0.0000,0,0,1,1350.0000,2,100,1,Program - T14 - 14-Day Routine Tick,,1,0.00%,0.00%,100.00%
0,0 , ,549,85,14,15000.0000,1571.0000,15.482695810564663023679417120,4.5016077170418006430868167200,311,41693.0000,761,38.615664845173041894353369760,212,Program - CA - Core Aeration,,464,15.48%,4.50%,38.62%
0,0 , ,0,0,0,0.0000,0.0000,0,0,1,240.0000,1,0,1,Program - BET - Beetle Control,,0,0.00%,0.00%,0.00%
0,0 , ,2,0,0,0.0000,0.0000,0,0,2,1536.0000,4,100,2,Program - M28 - 28-Day Routine Mosquito,,2,0.00%,0.00%,100.00%
0,0 , ,968,342,75,34078.0000,13502.0000,35.330578512396694214876033060,22.865853658536585365853658540,328,61457.0000,879,-9.194214876033057851239669420,-89,Program - PRE - Organic Weed Pre-Emergent,,626,35.33%,22.87%,-9.19%
0,0 , ,0,0,1,0.0000,180.0000,0,100,1,180.0000,0,0,0,Program - TC - Custom Routine Tick,,0,0.00%,100.00%,0.00%
0,0 , ,0,0,0,0.0000,0.0000,0,0,1,125.0000,1,0,1,Program - SND - Winter Sanding Service,,0,0.00%,0.00%,0.00%
0,0 , ,540,83,18,8291.0000,2012.0000,15.370370370370370370370370370,4.2056074766355140186915887900,428,42037.5000,867,60.555555555555555555555555560,327,Program - LAG - Limestone Granular,,457,15.37%,4.21%,60.56%
0,0 , ,143,26,4,23296.0000,3689.0000,18.181818181818181818181818180,13.793103448275862068965517240,29,25420.0000,142,-0.699300699300699300699300700,-1,Program - B28 - 28-Day Tick and Mosquito,,117,18.18%,13.79%,-0.70%
0,0 , ,0,0,0,0.0000,0.0000,0,0,1,154.0000,1,0,1,Program - WRA - Water Retention Application,,0,0.00%,0.00%,0.00%
0,0 , ,28,6,2,2188.0000,360.0000,21.428571428571428571428571430,7.1428571428571428571428571400,28,6895.0000,48,71.428571428571428571428571430,20,Program - BC - Custom Tick & Mosquito,,22,21.43%,7.14%,71.43%
0,0 , ,0,0,0,0.0000,0.0000,0,0,6,0.0000,6,0,6,Program - SWT - Turf Sales Walkthrough,,0,0.00%,0.00%,0.00%
0,0 , ,46,5,7,6115.0000,8447.0000,10.869565217391304347826086960,22.580645161290322580645161290,31,38532.0000,65,41.304347826086956521739130430,19,Program - T21 - 21-Day Routine Tick,,41,10.87%,22.58%,41.30%
0,0 , ,6,4,0,4650.0000,0.0000,66.666666666666666666666666670,0,0,0.0000,2,-66.666666666666666666666666670,-4,Program - MVD - Island Routine Deer Treatment,,2,66.67%,0.00%,-66.67%
0,0 , ,549,83,15,17270.0000,2638.0000,15.118397085610200364298724950,4.8859934853420195439739413700,307,61194.0000,758,38.069216757741347905282331510,209,Program - OS - Over-Seeding Application,,466,15.12%,4.89%,38.07%
0,0 , ,72,22,6,61012.0000,7142.0000,30.555555555555555555555555560,13.636363636363636363636363640,44,80944.0000,88,22.222222222222222222222222220,16,Program - B14 - 14-Day Mosquito & Tick,,50,30.56%,13.64%,22.22%
0,0 , ,43,9,1,14735.0000,1080.0000,20.930232558139534883720930230,3.8461538461538461538461538500,26,22400.0000,59,37.209302325581395348837209300,16,Program - D - Deer Repellent Service,,34,20.93%,3.85%,37.21%
0,0 , ,0,0,0,0.0000,0.0000,0,0,16,1904.0000,16,0,16,Program - RTT - Residual Treatment: Tick,,0,0.00%,0.00%,0.00%
0,0 , ,0,0,1,0.0000,0.0000,0,6.6666666666666666666666666700,15,4400.0000,14,0,14,Program - DWM - Driveway/Walkway Weed Managem.,,0,0.00%,6.67%,0.00%
0,0 , ,102,8,0,4057.5000,0.0000,7.8431372549019607843137254900,0,23,10755.0000,117,14.705882352941176470588235290,15,Program - SNW - Snow Plowing Service,,94,7.84%,0.00%,14.71%
