CompanyId,BranchNumberAndBranchName,ProgramCode,CustomerCountOld,CancelCountOld,CancelCountNew,CancelDollarOld,CancelDollarNew,CancelPercentageOld,CancelPercentageNew,NewCustomersCount,NewCustomersPrice,CurrentCustomerCount,GrowthPercentage,NetCustomerGrowth,MainGroupDescription,SubGroupDescription,OldActCount,FormattedCancelPercentageOld,FormattedCancelPercentageNew,FormattedGrowthPercentage
0,0 , ,0,0,0,0.0000,0.0000,0,0,1,125.0000,1,0,1,Program - SND - Winter Sanding Service,,0,0.00%,0.00%,0.00%
0,0 , ,872,13,0,1193.0000,0.0000,1.4908256880733944954128440400,0,8,1284.0000,867,-0.5733944954128440366972477100,-5,Program - LAG - Limestone Granular,,859,1.49%,0.00%,-0.57%
0,0 , ,140,0,0,0.0000,0.0000,0,0,2,1782.0000,142,1.4285714285714285714285714300,2,Program - B28 - 28-Day Tick and Mosquito,,140,0.00%,0.00%,1.43%
0,0 , ,0,0,0,0.0000,0.0000,0,0,1,154.0000,1,0,1,Program - WRA - Water Retention Application,,0,0.00%,0.00%,0.00%
0,0 , ,48,0,0,0.0000,0.0000,0,0,0,0.0000,48,0,0,Program - BC - Custom Tick & Mosquito,,48,0.00%,0.00%,0.00%
0,0 , ,6,0,0,0.0000,0.0000,0,0,0,0.0000,6,0,0,Program - SWT - Turf Sales Walkthrough,,6,0.00%,0.00%,0.00%
0,0 , ,63,0,0,0.0000,0.0000,0,0,2,2910.0000,65,3.1746031746031746031746031700,2,Program - T21 - 21-Day Routine Tick,,63,0.00%,0.00%,3.17%
0,0 , ,2,0,0,0.0000,0.0000,0,0,0,0.0000,2,0,0,Program - MVD - Island Routine Deer Treatment,,2,0.00%,0.00%,0.00%
0,0 , ,766,13,0,3050.0000,0.0000,1.6971279373368146214099216700,0,5,1166.0000,758,-1.0443864229765013054830287200,-8,Program - OS - Over-Seeding Application,,753,1.70%,0.00%,-1.04%
0,0 , ,88,0,0,0.0000,0.0000,0,0,0,0.0000,88,0,0,Program - B14 - 14-Day Mosquito & Tick,,88,0.00%,0.00%,0.00%
0,0 , ,58,1,0,1080.0000,0.0000,1.7241379310344827586206896600,0,2,1520.0000,59,1.7241379310344827586206896600,1,Program - D - Deer Repellent Service,,57,1.72%,0.00%,1.72%
0,0 , ,15,0,0,0.0000,0.0000,0,0,1,100.0000,16,6.6666666666666666666666666700,1,Program - RTT - Residual Treatment: Tick,,15,0.00%,0.00%,6.67%
0,0 , ,14,0,0,0.0000,0.0000,0,0,0,0.0000,14,0,0,Program - DWM - Driveway/Walkway Weed Managem.,,14,0.00%,0.00%,0.00%
0,0 , ,99,0,0,0.0000,0.0000,0,0,18,6225.0000,117,18.181818181818181818181818180,18,Program - SNW - Snow Plowing Service,,99,0.00%,0.00%,18.18%
